LOCATION,TIME,gdp_pc,gdp_pc_ppp
BRB,2008,16666.1,16079
BRB,2009,15926.5,15365.5
BRB,2010,15905.9,15345.6
BRB,2011,15967.3,15404.8
BRB,2012,15958.9,15396.8
BRB,2013,15895.3,15335.3
BRB,2014,15856.1,15297.6
BRB,2015,15952.3,15390.3
BRB,2016,16157.4,15588.3
PAN,2008,7653.1,14867.3
PAN,2009,7638.3,14838.5
PAN,2010,7937.3,15419.3
PAN,2011,8720,16939.9
PAN,2012,9360.3,18183.9
PAN,2013,9810,19057.4
PAN,2014,10229.2,19871.8
PAN,2015,10642.3,20674.3
PAN,2016,10982.4,21334.9
BOL,2008,1901.8859,5191.2134
BOL,2009,1933.7014,5278.0541
BOL,2010,1981.1663,5407.5
BOL,2011,2051.2,5598.5
BOL,2012,2122.4,5792.9
BOL,2013,2231.5,6090.7
BOL,2014,2317.3,6324.8
BOL,2015,2393,6531.5
BOL,2016,2457.6,6708
SLV,2008,3569.9,7500.6
SLV,2009,3442.9,7233.5
SLV,2010,3474.4,7299.9
SLV,2011,3535.4,7428
SLV,2012,3585.3,7532.9
SLV,2013,3634.2,7635.7
SLV,2014,3668.2,7707.1
SLV,2015,3733.9,7845.2
SLV,2016,3802.9,7990
